Route Name,Route Filename
Jamaica Road-Cable Street-Westferry Road,routes/1.gpx
shorter route,routes/2.gpx
Ditches Lane-Coopers Hill Road-Selsfield Road,routes/3.gpx
Westferry Road-Goldhawk Road-Coldharbour Lane,routes/4.gpx
hilly route,routes/5.gpx
Featherbed Lane-Beddlestead Lane-Cudham Lane North,routes/6.gpx
Round Dartford,routes/7.gpx
Hartley Bottom Road-Green Street Green Road-Oakfield Lane,routes/8.gpx
To Richmond V1,routes/9.gpx
endurance ride in london,routes/10.gpx
To Victoria Park and Cycle Track,routes/11.gpx
Short test route,routes/12.gpx
test ride ,routes/13.gpx
26/08/24 Endurance,routes/14.gpx
Hilly Saturday (24/08/24),routes/15.gpx
Thursday endurance (15/08/24),routes/16.gpx
Endurance Ride (13/08/24),routes/17.gpx
Pikes Peak or Bust,routes/18.gpx
day 6 - recovery endurance with sprint efforts,routes/19.gpx
day 5 - long endurance ride,routes/20.gpx
day 4 - Hilly Intervals (with v02 at end),routes/21.gpx
day 3 - Threshold Ladder Intervals,routes/22.gpx
Boulder Ride,routes/23.gpx
day 2 - 3 hr z2,routes/24.gpx
easy spin (day 1 altitude),routes/25.gpx
hilly Endurance ,routes/26.gpx
Friday Explore (26/07/24),routes/27.gpx
Endurance Ride (19/07/24),routes/28.gpx
16/07/24 Warmup,routes/29.gpx
From Woodland to Colorado College,routes/30.gpx
Hill Repeats at top of Cheyenne,routes/31.gpx
Day out in the Rockies,routes/32.gpx
Lefthand Canyon Route,routes/33.gpx
Flatter Z2 Ride,routes/34.gpx
Sweetspot in Harriman (05/07/24),routes/35.gpx
Warmup (11/07/24),routes/36.gpx
Tempo Tuesday (09/07/24),routes/37.gpx
Endurance Ride (08/07/24),routes/38.gpx
Endurance Ride (12/06/24),routes/39.gpx
Big Day Out (13/07/24),routes/40.gpx
chill friday afternoon,routes/41.gpx
July 4th ride,routes/42.gpx
to mark,routes/43.gpx
Saturday hump endurance ride (6/29),routes/44.gpx
28/06/24 Ride,routes/45.gpx
hilly friday,routes/46.gpx
North loop 88k,routes/47.gpx
Double Greenwood,routes/48.gpx
many hills,routes/49.gpx
hilly long ride 2,routes/50.gpx
double loop,routes/51.gpx
Saturday 2,routes/52.gpx
Saturday Ride,routes/53.gpx
long ass ride,routes/54.gpx
to Quik Check,routes/55.gpx
Saturday Route,routes/56.gpx
Tuesday hilly ride,routes/57.gpx
big ol square,routes/58.gpx
Bear Mtn Route,routes/59.gpx
out and back to florida ride,routes/60.gpx
Gym then Warwick HS,routes/61.gpx
5k ft elevation,routes/62.gpx
30 mile hilly route,routes/63.gpx
hilly Washingtonville 36,routes/64.gpx
Hilly route 22.5,routes/65.gpx
Friday Ride,routes/66.gpx
